DIA;COMPRA;VENTA;;
1 Ene 1983;44.95;45.45;;
2 Ene 1983;44.95;45.45;;
3 Ene 1983;44.95;45.45;;
4 Ene 1983;44.95;45.45;;
5 Ene 1983;44.95;45.45;;
6 Ene 1983;44.95;45.45;;
7 Ene 1983;44.95;45.45;;
8 Ene 1983;44.95;45.45;;
9 Ene 1983;44.95;45.45;;
10 Ene 1983;44.95;45.45;;
11 Ene 1983;44.90;45.40;;
12 Ene 1983;44.90;45.40;;
13 Ene 1983;44.90;45.40;;
14 Ene 1983;44.90;45.40;;
15 Ene 1983;44.90;45.40;;
16 Ene 1983;44.90;45.40;;
17 Ene 1983;44.90;45.40;;
18 Ene 1983;44.85;45.35;;
19 Ene 1983;44.85;45.35;;
20 Ene 1983;44.85;45.35;;
21 Ene 1983;44.80;45.30;;
22 Ene 1983;44.80;45.30;;
23 Ene 1983;44.80;45.30;;
24 Ene 1983;44.80;45.30;;
25 Ene 1983;44.75;45.25;;
26 Ene 1983;44.75;45.25;;
27 Ene 1983;44.75;45.25;;
28 Ene 1983;44.75;45.25;;
29 Ene 1983;44.75;45.25;;
30 Ene 1983;44.75;45.25;;
31 Ene 1983;44.75;45.25;;
1 Feb 1983;44.70;45.20;;
2 Feb 1983;44.70;45.20;;
3 Feb 1983;44.70;45.20;;
4 Feb 1983;44.70;45.20;;
5 Feb 1983;44.70;45.20;;
6 Feb 1983;44.70;45.20;;
7 Feb 1983;44.70;45.20;;
8 Feb 1983;44.70;45.20;;
9 Feb 1983;44.70;45.20;;
10 Feb 1983;44.70;45.20;;
11 Feb 1983;44.70;45.20;;
12 Feb 1983;44.70;45.20;;
13 Feb 1983;44.70;45.20;;
14 Feb 1983;44.70;45.20;;
15 Feb 1983;44.65;45.15;;
16 Feb 1983;44.65;45.15;;
17 Feb 1983;44.60;45.10;;
18 Feb 1983;44.60;45.10;;
19 Feb 1983;44.60;45.10;;
20 Feb 1983;44.60;45.10;;
21 Feb 1983;44.60;45.10;;
22 Feb 1983;44.60;45.10;;
23 Feb 1983;44.60;45.10;;
24 Feb 1983;44.60;45.10;;
25 Feb 1983;44.60;45.10;;
26 Feb 1983;44.60;45.10;;
27 Feb 1983;44.60;45.10;;
28 Feb 1983;44.60;45.10;;
29 Feb 1983;;;;
1 Mar 1983;44.60;45.10;;
2 Mar 1983;44.60;45.10;;
3 Mar 1983;44.60;45.10;;
4 Mar 1983;44.60;45.10;;
5 Mar 1983;44.50;45.00;;
6 Mar 1983;44.50;45.00;;
7 Mar 1983;44.50;45.00;;
8 Mar 1983;44.50;45.00;;
9 Mar 1983;44.50;45.00;;
10 Mar 1983;44.50;45.00;;
11 Mar 1983;44.50;45.00;;
12 Mar 1983;44.50;45.00;;
13 Mar 1983;44.50;45.00;;
14 Mar 1983;44.50;45.00;;
15 Mar 1983;44.50;45.00;;
16 Mar 1983;44.40;44.90;;
17 Mar 1983;44.40;44.90;;
18 Mar 1983;44.40;44.90;;
19 Mar 1983;44.35;44.85;;
20 Mar 1983;44.35;44.85;;
21 Mar 1983;44.35;44.85;;
22 Mar 1983;44.35;44.85;;
23 Mar 1983;44.35;44.85;;
24 Mar 1983;44.35;44.85;;
25 Mar 1983;44.35;44.85;;
26 Mar 1983;44.35;44.85;;
27 Mar 1983;44.35;44.85;;
28 Mar 1983;44.35;44.85;;
29 Mar 1983;44.25;44.75;;
30 Mar 1983;44.25;44.75;;
31 Mar 1983;44.25;44.75;;
1 Abr 1983;44.25;44.75;;
2 Abr 1983;44.25;44.75;;
3 Abr 1983;44.25;44.75;;
4 Abr 1983;44.25;44.75;;
5 Abr 1983;44.20;44.70;;
6 Abr 1983;44.20;44.70;;
7 Abr 1983;44.20;44.70;;
8 Abr 1983;44.20;44.70;;
9 Abr 1983;44.20;44.70;;
10 Abr 1983;44.20;44.70;;
11 Abr 1983;44.20;44.70;;
12 Abr 1983;44.20;44.70;;
13 Abr 1983;44.15;44.65;;
14 Abr 1983;44.15;44.65;;
15 Abr 1983;44.15;44.65;;
16 Abr 1983;44.15;44.65;;
17 Abr 1983;44.15;44.65;;
18 Abr 1983;44.15;44.65;;
19 Abr 1983;44.15;44.65;;
20 Abr 1983;44.15;44.65;;
21 Abr 1983;44.15;44.65;;
22 Abr 1983;44.15;44.65;;
23 Abr 1983;44.15;44.65;;
24 Abr 1983;44.15;44.65;;
25 Abr 1983;44.15;44.65;;
26 Abr 1983;44.15;44.65;;
27 Abr 1983;44.15;44.65;;
28 Abr 1983;44.15;44.65;;
29 Abr 1983;44.15;44.65;;
30 Abr 1983;44.15;44.65;;
1 May 1983;44.15;44.65;;
2 May 1983;44.15;44.65;;
3 May 1983;44.15;44.65;;
4 May 1983;44.10;44.60;;
5 May 1983;44.10;44.60;;
6 May 1983;44.10;44.60;;
7 May 1983;44.10;44.60;;
8 May 1983;44.10;44.60;;
9 May 1983;44.10;44.60;;
10 May 1983;44.10;44.60;;
11 May 1983;44.10;44.60;;
12 May 1983;44.10;44.60;;
13 May 1983;44.10;44.60;;
14 May 1983;44.10;44.60;;
15 May 1983;44.10;44.60;;
16 May 1983;44.10;44.60;;
17 May 1983;44.10;44.60;;
18 May 1983;44.10;44.60;;
19 May 1983;44.10;44.60;;
20 May 1983;44.10;44.60;;
21 May 1983;44.10;44.60;;
22 May 1983;44.10;44.60;;
23 May 1983;44.10;44.60;;
24 May 1983;44.10;44.60;;
25 May 1983;44.10;44.60;;
26 May 1983;44.10;44.60;;
27 May 1983;44.10;44.60;;
28 May 1983;44.10;44.60;;
29 May 1983;44.10;44.60;;
30 May 1983;44.10;44.60;;
31 May 1983;44.10;44.60;;
1 Jun 1983;44.10;44.60;;
2 Jun 1983;44.10;44.60;;
3 Jun 1983;44.10;44.60;;
4 Jun 1983;44.10;44.60;;
5 Jun 1983;44.10;44.60;;
6 Jun 1983;44.10;44.60;;
7 Jun 1983;44.10;44.60;;
8 Jun 1983;44.10;44.60;;
9 Jun 1983;44.10;44.60;;
10 Jun 1983;44.10;44.60;;
11 Jun 1983;44.10;44.60;;
12 Jun 1983;44.10;44.60;;
13 Jun 1983;44.10;44.60;;
14 Jun 1983;44.10;44.60;;
15 Jun 1983;44.10;44.60;;
16 Jun 1983;44.10;44.60;;
17 Jun 1983;44.10;44.60;;
18 Jun 1983;44.10;44.60;;
19 Jun 1983;44.10;44.60;;
20 Jun 1983;44.10;44.60;;
21 Jun 1983;44.10;44.60;;
22 Jun 1983;44.10;44.60;;
23 Jun 1983;44.10;44.60;;
24 Jun 1983;44.10;44.60;;
25 Jun 1983;44.10;44.60;;
26 Jun 1983;44.10;44.60;;
27 Jun 1983;44.10;44.60;;
28 Jun 1983;43.10;43.60;;
29 Jun 1983;43.10;43.60;;
30 Jun 1983;43.10;43.60;;
1 Jul 1983;43.10;43.60;;
2 Jul 1983;43.10;43.60;;
3 Jul 1983;43.10;43.60;;
4 Jul 1983;43.10;43.60;;
5 Jul 1983;43.10;43.60;;
6 Jul 1983;43.10;43.60;;
7 Jul 1983;43.10;43.60;;
8 Jul 1983;43.10;43.60;;
9 Jul 1983;43.10;43.60;;
10 Jul 1983;43.10;43.60;;
11 Jul 1983;43.10;43.60;;
12 Jul 1983;43.10;43.60;;
13 Jul 1983;43.10;43.60;;
14 Jul 1983;43.10;43.60;;
15 Jul 1983;43.10;43.60;;
16 Jul 1983;43.10;43.60;;
17 Jul 1983;43.10;43.60;;
18 Jul 1983;43.10;43.60;;
19 Jul 1983;43.10;43.60;;
20 Jul 1983;43.10;43.60;;
21 Jul 1983;43.10;43.60;;
22 Jul 1983;43.10;43.60;;
23 Jul 1983;43.10;43.60;;
24 Jul 1983;43.10;43.60;;
25 Jul 1983;43.10;43.60;;
26 Jul 1983;43.10;43.60;;
27 Jul 1983;43.10;43.60;;
28 Jul 1983;43.10;43.60;;
29 Jul 1983;43.10;43.60;;
30 Jul 1983;43.10;43.60;;
31 Jul 1983;43.10;43.60;;
1 Ago 1983;43.10;43.60;;
2 Ago 1983;43.10;43.60;;
3 Ago 1983;43.10;43.60;;
4 Ago 1983;43.10;43.60;;
5 Ago 1983;43.10;43.60;;
6 Ago 1983;43.10;43.60;;
7 Ago 1983;43.10;43.60;;
8 Ago 1983;43.10;43.60;;
9 Ago 1983;43.10;43.60;;
10 Ago 1983;43.10;43.60;;
11 Ago 1983;43.10;43.60;;
12 Ago 1983;43.10;43.60;;
13 Ago 1983;43.10;43.60;;
14 Ago 1983;43.10;43.60;;
15 Ago 1983;43.10;43.60;;
16 Ago 1983;43.10;43.60;;
17 Ago 1983;43.10;43.60;;
18 Ago 1983;43.10;43.60;;
19 Ago 1983;43.10;43.60;;
20 Ago 1983;43.10;43.60;;
21 Ago 1983;43.10;43.60;;
22 Ago 1983;43.10;43.60;;
23 Ago 1983;43.10;43.60;;
24 Ago 1983;43.10;43.60;;
25 Ago 1983;43.10;43.60;;
26 Ago 1983;43.10;43.60;;
27 Ago 1983;43.10;43.60;;
28 Ago 1983;43.10;43.60;;
29 Ago 1983;43.10;43.60;;
30 Ago 1983;43.10;43.60;;
31 Ago 1983;43.10;43.60;;
1 Set 1983;43.10;43.60;;
2 Set 1983;43.10;43.60;;
3 Set 1983;43.10;43.60;;
4 Set 1983;43.10;43.60;;
5 Set 1983;43.10;43.60;;
6 Set 1983;43.10;43.60;;
7 Set 1983;43.10;43.60;;
8 Set 1983;43.10;43.60;;
9 Set 1983;43.10;43.60;;
10 Set 1983;43.10;43.60;;
11 Set 1983;43.10;43.60;;
12 Set 1983;43.10;43.60;;
13 Set 1983;43.10;43.60;;
14 Set 1983;43.10;43.60;;
15 Set 1983;43.10;43.60;;
16 Set 1983;43.10;43.60;;
17 Set 1983;43.10;43.60;;
18 Set 1983;43.10;43.60;;
19 Set 1983;43.10;43.60;;
20 Set 1983;43.10;43.60;;
21 Set 1983;43.10;43.60;;
22 Set 1983;43.10;43.60;;
23 Set 1983;42.10;42.60;;
24 Set 1983;42.10;42.60;;
25 Set 1983;42.10;42.60;;
26 Set 1983;42.10;42.60;;
27 Set 1983;42.10;42.60;;
28 Set 1983;42.10;42.60;;
29 Set 1983;42.10;42.60;;
30 Set 1983;42.10;42.60;;
1 Oct 1983;42.10;42.60;;
2 Oct 1983;42.10;42.60;;
3 Oct 1983;42.10;42.60;;
4 Oct 1983;42.10;42.60;;
5 Oct 1983;42.10;42.60;;
6 Oct 1983;42.10;42.60;;
7 Oct 1983;42.10;42.60;;
8 Oct 1983;42.10;42.60;;
